,Plant ID,Botanical Name,Common Name,Plant Type,Water Needs,min_water_consumption,max_water_consumption,Climate Zones,Light Needs,Soil Type,Maintenance,Flower colour,Foliage Colour,Perfume,Aromatic,Edible,Bore water Tolerance,Frost Tolerance,Image Location
10,12.0,Abelmoschus rugosus 'Evergreen',Rose Musk Mallow,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",Medium,Red,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,images/12_abelmoschus_rugosus_evergreen.jpg
11,13.0,Abies procera,Noble Fir,Medium Tree,1400 to 2000mm,1400.0,2000.0,Temperate,Sun,Loam,Low,Insignificant,Grey-green,Unknown,Yes,Unknown,No,Medium,
12,14.0,Abroma augusta,Devil's Cotton,Small Tree,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",Medium,Maroon,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,
13,15.0,Abutilon megapotamicum,Big River Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Yellow and red,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,images/15_abutilon_megapotamicum.jpg
14,16.0,Abutilon megapotamicum 'Variegatum',Variegated Big River Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate","Sun,Semi-shade",Loam,Medium,Yellow and red,Dark green and yellow,Unknown,Unknown,Unknown,Unknown,Unknown,
15,17.0,Abutilon oxycarpum,Small Flowered Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,Medium,images/17_abut_oxyc_img_.jpg
16,18.0,Abutilon x hybridum 'Boule de Neige',White Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,White,Mid green,Unknown,Unknown,Unknown,Unknown,Light,
17,19.0,Abutilon x hybridum 'Golden Fleece',Yellow Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,Light,images/19_abutilon_x_hybridum_golden_fleece.jpg
18,20.0,Abutilon x hybridum 'Orange',Orange Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Orange,Mid green,Unknown,Unknown,Unknown,Unknown,Light,images/20_abutilon_x_hybridum_orange.jpg
19,21.0,Abutilon x hybridum 'Red',Red Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Red,Mid green,Unknown,Unknown,Unknown,Unknown,Light,images/21_abutilon_x_hybridum_red.jpg
20,22.0,Abutilon x hybridum 'Savitzii',Variegated Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Orange,Dark green and yellow,Unknown,Unknown,Unknown,Unknown,Light,images/22_abutilon_x_hybridum_savitzii.jpg
21,23.0,Abutilon x hybridum 'Souvenir de Bonne',Variegated Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Orange,Mid green,Unknown,Unknown,Unknown,Unknown,Light,
22,24.0,Abutilon x hybridum 'Thompsonii',Pink Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Orange,Dark green and yellow,Unknown,Unknown,Unknown,Unknown,Light,
23,25.0,Abutilon x hybridum 'Tunisia',Pink Abutilon,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Dry Subtropical,Temperate",Semi-shade,Loam,Medium,Pink,Mid green,Unknown,Unknown,Unknown,Unknown,Light,
24,26.0,Acacia aulacocarpa,Short Hickory Wattle,Small Tree,600 to 900mm,600.0,900.0,"Dry Tropical,Humid Subtropical,Dry Subtropical,Temperate",Sun,Loam,High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Light,images/26_acacia_aulacocarpa.jpg
25,27.0,Acacia baileyana,Cootamundra Wattle,Small Tree,300 to 600mm,300.0,600.0,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Silver  ,Yes,Unknown,Unknown,Yes,Medium,images/27_acacia_baileyana.jpg
26,28.0,Acacia baileyana 'Purpurea',Purple Tip Cootamundra Wattle,Small Tree,300 to 600mm,300.0,600.0,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Silver and purple,Yes,Unknown,Unknown,Yes,Medium,http://www.anbg.gov.au/photo/apii/name/Acacia+baileyana+'Purpurea'%25
27,29.0,Acacia baileyana 'Prostrate',Prostrate Cootamundra Wattle,Small Tree,300 to 600mm,300.0,600.0,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Silver ,Yes,Unknown,Unknown,Yes,Light,images/29_acacia_baileyana_prostrate.jpg
28,30.0,Acacia complanata,Flat-stemmed Wattle,Small Tree,900 to 1400mm,900.0,1400.0,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Medium,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,images/30_acacia_complanata.jpg
29,31.0,Acacia decora,Pretty Wattle,Small Tree,300 to 600mm,300.0,600.0,"Humid Subtropical,Dry Subtropical",Sun,"Sand,Loam,Clay",Medium,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Medium,images/31_acac_deco_hab_img_.jpg
30,32.0,Acacia elata,Cedar Wattle,Small Tree,900 to 1400mm,900.0,1400.0,"Humid Subtropical,Dry Subtropical",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,images/32_acacia_elata.jpg
31,33.0,Acacia fimbriata,Brisbane Wattle,Small Tree,900 to 1400mm,900.0,1400.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,images/33_acacia_fimbriata.jpg
32,34.0,Acacia fimbriata 'Dwarf',Dwarf Brisbane Wattle,Shrub,900 to 1400mm,900.0,1400.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,
33,35.0,Acacia harpophylla,Brigalow,Medium Tree,100 to 300mm,100.0,300.0,"Dry Subtropical,Desert",Sun,"Sand,Loam,Clay",Medium,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Light,http://www.anbg.gov.au/photo/apii/name/Acacia+harpophylla%25
34,36.0,Acacia holosericea,Silver Leaf Wattle,Small Tree,600 to 900mm,600.0,900.0,"Dry Tropical,Humid Subtropical,Dry Subtropical",Sun,"Sand,Loam,Clay",Medium,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Light,images/36_acacia_holosericea.jpg
35,37.0,Acacia leiocalyx,Black Wattle,Small Tree,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Light,images/37_acacia_leiocalyx.jpg
36,38.0,Acacia macradenia,Zig Zag Wattle,Small Tree,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,images/38_acacia_macradenia.jpg
37,39.0,Acacia maidenii,Maiden's Wattle,Small Tree,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,images/39_acacia_maidenii.jpg
38,40.0,Acacia pendula,Weeping Myall,Small Tree,100 to 300mm,100.0,300.0,"Dry Subtropical,Desert,Temperate",Sun,"Sand,Loam,Clay",Medium,Yellow,Grey-green,Yes,Unknown,Unknown,Yes,Medium,http://www.anbg.gov.au/photo/apii/name/Acacia+pendula%25
39,41.0,Acacia podalyriifolia,Silver Wattle,Small Tree,300 to 600mm,300.0,600.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Silver ,Yes,Unknown,Unknown,Yes,Medium,images/41_acacia_podalyriifolia.jpg
40,42.0,Acacia pravissima 'Little Nugget',Little Nugget,Shrub,300 to 600mm,300.0,600.0,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Medium,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,
41,43.0,Acacia salicina,Sally Wattle,Medium Tree,600 to 900mm,600.0,900.0,"Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Heavy,images/43_acacia_salicina.jpg
42,44.0,Acacia longifolia subsp. sophorae,Beach Wattle,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",High,Yellow,Mid green,Yes,Unknown,Unknown,Yes,Medium,images/44_acacia_longifolia_sophorae.jpg
43,45.0,Acalypha callipes,Native Acalypha,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Temperate","Sun,Semi-shade",Loam,Low,Insignificant,Dark green,Unknown,Unknown,Unknown,Yes,Unknown,
44,46.0,Acalypha hispida,Red Hot Cats Tails,Shrub,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Red,Dark green,Unknown,Unknown,Unknown,Yes,Unknown,images/46_acalypha_hispida.jpg
45,47.0,Acalypha hispida 'Sanderi',Pink Cats Tails,Shrub,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Pink,Dark green,Unknown,Unknown,Unknown,Yes,Unknown,images/47_acalypha_hispida_sanderi.jpg
46,48.0,Acalypha hispida 'Rubrum',Red Leaf Red Hot Cats Tails,Shrub,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Red,Bronze,Unknown,Unknown,Unknown,Yes,Unknown,images/48_acalypha_hispida_rubrum.jpg
47,49.0,Acalypha hispida 'Alba',White Hot Cats Tails,Shrub,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,White,Mid green,Unknown,Unknown,Unknown,Yes,Unknown,
48,50.0,Acalypha lyonsii,Waterfall Acalypha,Shrub,2000 to 2500mm,2000.0,2500.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Medium,Insignificant,Mid green,Unknown,Unknown,Unknown,Yes,Unknown,images/50_acalypha_lysonii.jpg
49,51.0,Acalypha chamaedrifolia 'Stephie',Summer Love,Groundcover,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Red,Mid green,Unknown,Unknown,Unknown,Yes,Unknown,images/51_acalypha_reptan_var_pygmaea.jpg
50,52.0,Acalypha chamaedrifolia 'Pink',Pink Summer Love,Groundcover,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Pink,Mid green,Unknown,Unknown,Unknown,Yes,Unknown,
51,53.0,Acalypha siamensis,Wild Tea,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Medium,Insignificant,Mid green,Unknown,Unknown,Unknown,Yes,Unknown,images/53_acalypha_siamensis.jpg
52,54.0,Acalypha wilkesiana 'Bronze',Bronze Fijian Fireplant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze,Unknown,Unknown,No,Yes,Unknown,images/54_acalypha_wilkesiana _bronze.jpg
53,55.0,Acalypha wilkesiana 'Green and Gold',Yellow Acalypha,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Mid green and yellow,Unknown,Unknown,No,Yes,Unknown,images/55_acalypha_wilkesiana_green_and_gold.jpg
54,56.0,Acalypha wilkesiana 'Marginata',Fijian Fireplant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,"Green, bronze and red",Unknown,Unknown,No,Yes,Unknown,images/56_acalypha_wilkesiana _marginata.jpg
55,57.0,Acalypha wilkesiana 'Camouflage',Camouflage Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze and green,Unknown,Unknown,No,Yes,Unknown,images/57_acalypha_wilkesiana _camouflage.jpg
56,58.0,Acalypha wilkesiana 'Candyman',Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze and red,Unknown,Unknown,No,Yes,Unknown,
57,59.0,Acalypha wilkesiana 'Cheryl's Choice',Cheryl's Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze and red,Unknown,Unknown,No,Yes,Unknown,images/59_acalypha_wilkesiana_cheryls_choice.jpg
58,60.0,Acalypha wilkesiana 'Compacta',Compact Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze,Unknown,Unknown,No,Yes,Unknown,images/60_acalypha_wilkesiana_compacta.jpg
59,61.0,Acalypha wilkesiana 'Firestorm',Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze and red,Unknown,Unknown,No,Yes,Unknown,images/61_acalypha_wilkesiana_firestorm.jpg
60,62.0,Acalypha wilkesiana 'Godseffiana',Narrow Fijian Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Mid green and yellow,Unknown,Unknown,No,Yes,Unknown,images/62_acalypha_wilkesiana_godseffiana.jpg
61,63.0,Acalypha wilkesiana 'Inferno',Inferno,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze and red,Unknown,Unknown,No,Yes,Unknown,images/63_acalapha_wilkesiana_inferno.jpg
62,64.0,Acalypha wilkesiana 'Java White',Yellow Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Mid green and yellow,Unknown,Unknown,No,Yes,Unknown,
63,65.0,Acalypha wilkesiana 'Macfeeana',MacFee's Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Red and bronze,Unknown,Unknown,No,Yes,Unknown,
64,66.0,Acalypha wilkesiana 'Pink',Pink Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Red,Unknown,Unknown,No,Yes,Unknown,
65,67.0,Acalypha wilkesiana 'Raggedy Ann',Frilled Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze,Unknown,Unknown,No,Yes,Unknown,images/67_acalypha_wilkesiana_raggedy_ann.jpg
66,68.0,Acalypha wilkesiana 'Spitfire',Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze and red,Unknown,Unknown,No,Yes,Unknown,
67,69.0,Acalypha wilkesiana 'Sunset Hue',Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Mid green and yellow,Unknown,Unknown,No,Yes,Unknown,
68,70.0,Acalypha wilkesiana 'Trendy',Fire Plant,Shrub,600 to 900mm,600.0,900.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Low,Insignificant,Bronze and red,Unknown,Unknown,No,Yes,Unknown,
69,71.0,Acanthophoenix rubra,Red Palm,Palms and Cycads,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Insignificant,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,
70,72.0,Acanthostachys strobilacea,Pinecone Bromeliad,Bromeliad,900 to 1400mm,900.0,1400.0,"Humid Tropical,Humid Subtropical",Semi-shade,Open compost,Low,Orange,Grey-green,Unknown,Unknown,Unknown,Unknown,Unknown,
71,73.0,Acanthus mollis,Bear's Breeches,Perennial,1400 to 2000mm,1400.0,2000.0,Temperate,Semi-shade,Loam,Medium,White and blue,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,images/73_acanthus_molli.jpg
72,74.0,Acca sellowiana,"Feijoa, Pineapple Guava","Fruit,Tree",600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",Low,Red,Grey-green,Unknown,Unknown,Yes,Yes,Unknown,
73,75.0,Acer negundo,Box Elder Maple,Medium Tree,900 to 1400mm,900.0,1400.0,Temperate,Sun,Loam,Medium,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,Medium,images/75_acer_negundo.jpg
74,76.0,Acer palmatum,Japanese Maple,Small Tree,1400 to 2000mm,1400.0,2000.0,Temperate,"Sun,Semi-shade",Loam,Medium,Insignificant,Mid green and red,Unknown,Unknown,Unknown,No,Unknown,
75,77.0,Acer rubrum,Red Maple,Medium Tree,900 to 1400mm,900.0,1400.0,Temperate,Sun,Loam,Medium,Insignificant,Mid green and red,Unknown,Unknown,Unknown,Unknown,Heavy,images/77_acer_rubrum.jpg
76,78.0,Acer saccharum,Sugar Maple,Medium Tree,900 to 1400mm,900.0,1400.0,Temperate,Sun,Loam,Medium,Insignificant,Mid green and yellow,Unknown,Unknown,No,Unknown,Unknown,
77,79.0,Achillea millefolium,Yarrow,Perennial,600 to 900mm,600.0,900.0,"Dry Subtropical,Temperate",Sun,Loam,Medium,White and pink,Mid green,Unknown,Unknown,Unknown,Yes,Heavy,images/79_achillea_millefolium.jpg
78,80.0,Achimenes hybrida,Hot Water Plant,Perennial,2000 to 2500mm,2000.0,2500.0,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,Medium,Pink and red,Mid green,Unknown,Unknown,Unknown,No,Unknown,
79,81.0,Acmena hemilampra,Blush Satinash,Small Tree,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical,Dry Subtropical,Temperate",Sun,Loam,Low,White,Mid green,Unknown,Unknown,No,Unknown,Unknown,images/81_acmena_hemilampra.jpg
80,82.0,Acmena smithii,Lillypilly,Medium Tree,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical,Dry Subtropical,Temperate",Sun,Loam,Low,White,Mid green,Unknown,Unknown,No,Unknown,Light,images/82_acmena_smithii.jpg
81,83.0,Acmena smithii 'Minipilly',Mini Lillypilly,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical,Dry Subtropical,Temperate",Sun,Loam,Low,White,Mid green,Unknown,Unknown,No,Unknown,Unknown,
82,84.0,Acmena smithii 'Allyn Magic',Allyn Magic Lillypilly,Shrub,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical,Dry Subtropical,Temperate",Sun,Loam,Low,White,Mid green,Unknown,Unknown,No,Unknown,Unknown,images/84_acmena_smithii_allyn_magic.jpg
83,85.0,Acoelorrhaphe wrightii,Everglades Palm,Palms and Cycads,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical,Temperate","Sun,Semi-shade","Loam,Clay",Low,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,Unknown,images/85_acoelorrhaphe_wrightii.jpg
84,86.0,Acokanthera oblongifolia,Bushman's Poison Wintersweet,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam",Low,White,Dark green,Yes,Unknown,Unknown,Unknown,Unknown,images/86_acokanthera_oblongifolia.jpg
85,87.0,Acokanthera oblongifolia 'Variegata',Variegated Bushman's Poison,Shrub,600 to 900mm,600.0,900.0,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam",Low,White,Dark green and silver,Yes,Unknown,Unknown,Unknown,Unknown,
86,88.0,Acorus calamus,Acorus,Grass,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Temperate","Sun,Semi-shade",Loam,Low,Insignificant,Yellow and green,Unknown,Unknown,Unknown,Unknown,Light,
87,89.0,Acorus gramineus 'Ogon',Gold Acorus,Grass,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Temperate","Sun,Semi-shade",Loam,Low,Insignificant,Yellow and green,Unknown,Unknown,Unknown,Unknown,Light,
88,90.0,Acorus gramineus 'Variegatus',Variegated Sweet Flag,Grass,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Temperate","Sun,Semi-shade",Loam,Low,Insignificant,Mid green and yellow,Unknown,Unknown,Unknown,Unknown,Light,
89,91.0,Acorus gramineus 'Pusillus',Mugo Grass,Grass,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Temperate","Sun,Semi-shade",Loam,Low,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,Light,
90,92.0,Acorus gramineus 'Minimus Aureus',Golden Mugo Grass,Grass,1400 to 2000mm,1400.0,2000.0,"Humid Subtropical,Temperate","Sun,Semi-shade",Loam,Low,Insignificant,Yellow and green,Unknown,Unknown,Unknown,Unknown,Light,
91,93.0,Acrocomia aculeata,Macaw Palm,Palms and Cycads,900 to 1400mm,900.0,1400.0,"Humid Tropical,Dry Tropical,Humid Subtropical",Sun,Loam,Low,Insignificant,Dark green,Unknown,Unknown,Unknown,Unknown,Unknown,
92,94.0,Acronychia acidula,Lemon Aspen,Small Tree,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Cream,Mid green,Yes,Unknown,Yes,Unknown,Unknown,images/94_acronychia_acidula.jpg
93,95.0,Acronychia imperfolia,Beach Acronychia,Small Tree,1400 to 2000mm,1400.0,2000.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,Cream,Mid green,Yes,Unknown,No,Unknown,Unknown,
94,96.0,Acrostichum speciosum,Mangrove Fern,"Aquatic,Fern",2000 to 2500mm,2000.0,2500.0,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Low,,Dark green,Unknown,Unknown,Unknown,No,Unknown,images/96_acspe.jpg
95,97.0,Actinidia chinensis,Kiwifruit,"Climber,Fruit",1400 to 2000mm,1400.0,2000.0,Temperate,Sun,Loam,High,White,Mid green,Unknown,Unknown,Yes,No,Unknown,
96,98.0,Adansonia digitata,African Baobab Tree,Large Tree,100 to 300mm,100.0,300.0,"Humid Tropical,Dry Tropical,Humid Subtropical,Dry Subtropical,Desert",Sun,"Sand,Loam",Low,White,Dark green,Unknown,Unknown,No,Unknown,Unknown,images/98_adansonia_digitata.jpg
97,99.0,Adansonia gregorii,Baobab Tree,Large Tree,100 to 300mm,100.0,300.0,"Humid Tropical,Dry Tropical,Humid Subtropical,Dry Subtropical,Desert",Sun,"Sand,Loam",Low,White,Dark green,Unknown,Unknown,No,Unknown,Unknown,http://www.anbg.gov.au/photo/apii/name/Adansonia+gregorii%25
98,100.0,Adenandra fragrans,China Flower,Shrub,900 to 1400mm,900.0,1400.0,"Dry Subtropical,Temperate",Sun,"Sand,Loam",Low,Pink,Mid green,Unknown,Unknown,Unknown,Unknown,Unknown,
